sample_id,dataset,relation,topic,profile,direct_disagreement,logic_or_evidence_challenge,counter_claim,targeted_response,agreement_or_neutral,C
4F-QUOTE-001,4Forums,quote,abortion,P0,0.95,0.35,0.85,,0.05,0.7277777777777776
4F-QUOTE-001,4Forums,quote,abortion,P1,0.95,0.6,0.95,,0.05,0.8333333333333333
4F-QUOTE-001,4Forums,quote,abortion,P2,0.9,0.5,0.9,,0.05,0.7722222222222223
4F-QUOTE-002,4Forums,quote,abortion,P0,0.55,0.65,0.7,,0.25,0.6388888888888888
4F-QUOTE-002,4Forums,quote,abortion,P1,0.4,0.7,0.7,,0.3,0.5999999999999999
4F-QUOTE-002,4Forums,quote,abortion,P2,0.5,0.6,0.7,,0.3,0.5999999999999999
4F-QUOTE-003,4Forums,quote,abortion,P0,0.9,0.85,0.9,,0.05,0.888888888888889
4F-QUOTE-003,4Forums,quote,abortion,P1,0.9,0.85,0.9,,0.05,0.888888888888889
4F-QUOTE-003,4Forums,quote,abortion,P2,0.95,0.85,0.95,,0.05,0.9166666666666666
4F-QUOTE-004,4Forums,quote,abortion,P0,0.5,0.65,0.4,,0.2,0.5611111111111111
4F-QUOTE-004,4Forums,quote,abortion,P1,0.4,0.8,0.6,,0.1,0.6333333333333333
4F-QUOTE-004,4Forums,quote,abortion,P2,0.4,0.6,0.7,,0.2,0.5777777777777778
4F-QUOTE-005,4Forums,quote,abortion,P0,0.95,0.85,0.9,,0.02,0.908888888888889
4F-QUOTE-005,4Forums,quote,abortion,P1,0.9,0.9,0.85,,0.05,0.8944444444444445
4F-QUOTE-005,4Forums,quote,abortion,P2,0.9,0.85,0.9,,0.05,0.888888888888889
4F-QUOTE-006,4Forums,quote,abortion,P0,0.9,0.95,0.9,,0.02,0.9255555555555555
4F-QUOTE-006,4Forums,quote,abortion,P1,0.95,0.9,0.9,,0.05,0.9222222222222222
4F-QUOTE-006,4Forums,quote,abortion,P2,0.95,0.9,0.9,,0.05,0.9222222222222222
4F-QUOTE-007,4Forums,quote,abortion,P0,0.85,0.9,0.8,,0.05,0.8666666666666667
4F-QUOTE-007,4Forums,quote,abortion,P1,0.95,0.9,0.9,,0.05,0.9222222222222222
4F-QUOTE-007,4Forums,quote,abortion,P2,0.9,0.9,0.85,,0.05,0.8944444444444445
4F-QUOTE-008,4Forums,quote,abortion,P0,0.9,0.85,0.85,,0.05,0.8777777777777778
4F-QUOTE-008,4Forums,quote,abortion,P1,0.9,0.85,0.9,,0.1,0.8833333333333333
4F-QUOTE-008,4Forums,quote,abortion,P2,0.9,0.8,0.9,,0.05,0.8722222222222222
4F-QUOTE-009,4Forums,quote,abortion,P0,0.5,0.8,0.3,,0.2,0.5888888888888889
4F-QUOTE-009,4Forums,quote,abortion,P1,0.5,0.8,0.3,,0.2,0.5888888888888889
4F-QUOTE-009,4Forums,quote,abortion,P2,0.15,0.65,0.35,,0.15,0.4388888888888889
4F-QUOTE-010,4Forums,quote,abortion,P0,0.9,0.85,0.85,,0.05,0.8777777777777778
4F-QUOTE-010,4Forums,quote,abortion,P1,0.9,0.8,0.9,,0.1,0.8666666666666667
4F-QUOTE-010,4Forums,quote,abortion,P2,0.85,0.85,0.8,,0.05,0.85
